timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
9394736000,1.5995036,1.6389239,11.736237,1.0
9394740000,-2.9024444,-2.9739563,11.736237,1.0
9394748000,1.8526522,1.8982873,11.736237,1.0
9394752000,-1.7761178,-1.8198686,11.736237,1.0
9394760000,-1.6107142,-1.6503918,11.736237,1.0
9394764000,-1.5577126,-1.5960945,11.736237,1.0
9394768000,2.5067291,2.568484,11.736237,1.0
9394772000,2.430981,2.490881,11.736237,1.0
9394776000,2.4650984,2.525823,11.736237,1.0
9394780000,3.93253,4.0294223,11.736237,1.0
9394784000,2.7893407,2.858082,11.736237,1.0
9394788000,3.3584006,3.4411163,11.736237,1.0
9394792000,1.4878287,1.5244784,11.736237,1.0
9394796000,3.200254,3.2790952,11.736237,1.0
9394800000,1.9050946,1.9520338,11.736237,1.0
9394808000,-3.219909,-3.2992623,11.736237,1.0
9394812000,-2.1082685,-2.1601996,11.736237,1.0
9394816000,4.8442564,4.963644,11.736237,1.0
9394820000,-2.7856033,-2.8542042,11.736237,1.0
9394824000,2.2644448,2.320231,11.736237,1.0
9394828000,3.255192,3.3353765,11.736237,1.0
9394832000,3.1768005,3.2550507,11.736237,1.0
9394836000,-3.348008,-3.4304695,11.736237,1.0
9394840000,-3.8261914,-3.920468,11.736237,1.0
9394844000,-3.6873288,-3.7781906,11.736237,1.0
9394848000,-2.7955854,-2.8644712,11.736237,1.0
9394852000,-1.6616316,-1.7025664,11.736237,1.0
9394856000,2.1335816,2.1861684,11.736237,1.0
9394864000,2.7005444,2.767085,11.736237,1.0
9394868000,3.9875917,4.0858145,11.736237,1.0
9394872000,-3.4328108,-3.517391,11.736237,1.0
9394876000,-1.7288741,-1.7714623,11.736237,1.0
9394880000,-2.209587,-2.26402,11.736237,1.0
9394884000,-1.539151,-1.5770818,11.736237,1.0
9394888000,2.4715874,2.5325027,11.736237,1.0
9394896000,-4.9458385,-5.067697,11.736237,1.0
9394904000,-0.97910756,-1.0032331,11.736237,1.0
9394908000,-1.6246206,-1.6646465,11.736237,1.0
9394912000,2.6915185,2.757833,11.736237,1.0
9394916000,-4.532415,-4.6440654,11.736237,1.0
9394920000,-2.079592,-2.1308386,11.736237,1.0
9394928000,-1.137445,-1.1654724,11.736237,1.0
9394932000,-1.6178794,-1.6577272,11.736237,1.0
9394936000,-1.2430422,-1.2736675,11.736237,1.0
9394940000,2.1146083,2.1667073,11.736237,1.0
9394948000,3.1363866,3.213625,11.736237,1.0
9394952000,-3.5537786,-3.6413462,11.736237,1.0
9394956000,-1.9085163,-1.9555141,11.736237,1.0
9394964000,2.3141377,2.371126,11.736237,1.0
9394968000,-2.9952085,-3.0689929,11.736237,1.0
9394972000,-1.3741202,-1.4079826,11.736237,1.0
9394976000,-4.447067,-4.556634,11.736237,1.0
9394980000,2.697468,2.7639213,11.736237,1.0
9394984000,1.8838553,1.9302609,11.736237,1.0
